"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A520","2020-02-28 00:00:00","48.000","51.000","3.700","19.600","0.890","1015.000","","0.000","-99.000","-99.000","-99.000","21.100","","18.200",""
"C0X130","2020-02-28 00:00:00","27.000","335.000","0.700","20.200","0.870","1015.800","","0.000","-99.000","-99.000","-99.000","27.200","","20.200",""
"C0V400","2020-02-28 00:00:00","56.000","61.000","1.500","20.700","0.910","1012.300","","0.000","-99.000","-99.000","-99.000","27.100","","20.500",""
"C0UA40","2020-02-28 00:00:00","1121.000","0.000","0.000","13.400","0.990","896.100","","23.000","-99.000","-99.000","-99.000","14.100","","11.500",""
"C0G720","2020-02-28 00:00:00","50.000","7.000","1.000","18.300","0.880","1013.100","","0.000","-99.000","-99.000","-99.000","24.700","","18.300",""
"C0G890","2020-02-28 00:00:00","24.000","30.000","3.500","19.100","0.980","1016.100","","0.000","-99.000","-99.000","-99.000","22.100","","18.700",""
"C0I540","2020-02-28 00:00:00","3344.000","-99.000","-99.000","1.600","0.580","685.400","","-99.000","-99.000","-99.000","-99.000","8.400","","0.500",""
"C0K390","2020-02-28 00:00:00","31.000","38.000","1.100","18.600","0.880","1015.800","","0.000","-99.000","-99.000","-99.000","24.600","","18.600",""
"C0T9A0","2020-02-28 00:00:00","498.000","0.000","0.000","15.100","0.990","964.700","","5.500","-99.000","-99.000","-99.000","18.100","","15.100",""
"C0AH40","2020-02-28 00:00:00","426.000","13.000","3.700","17.300","1.000","970.400","","2.000","10.400","24.000","","17.300","","15.200",""
"C0X280","2020-02-28 00:00:00","22.000","32.000","2.600","19.500","0.860","1017.200","","0.000","-99.000","-99.000","-99.000","24.200","","19.300",""
"C0V620","2020-02-28 00:00:00","18.000","348.000","1.200","20.800","0.850","1017.300","","0.000","-99.000","-99.000","-99.000","26.500","","20.600",""
"C0H960","2020-02-28 00:00:00","120.000","0.000","0.000","19.200","0.940","1004.100","","0.000","-99.000","-99.000","-99.000","27.600","","19.000",""
